,word,bz_bio,re_bio
396,下,O,O
397,治,O,O
398,疗,O,O
399,方,O,O
400,式,O,O
401,以,O,O
402,及,O,O
403,注,O,O
404,意,O,O
405,事,O,O
406,项,O,O
407,，,O,O
408,对,O,O
409,你,O,O
410,一,O,O
411,定,O,O
412,有,O,O
413,帮,O,O
414,助,O,O
415,的,O,O
416,微,O,O
417,信,O,O
418,请,O,O
419,问,O,O
420,多,O,O
421,久,O,O
422,射,B_physiology,B_physiology
423,精,I_physiology,I_physiology
424,正,O,O
425,常,O,O
426,去,B_datetime,B_datetime
427,年,I_datetime,I_datetime
428,下,I_datetime,I_datetime
429,半,I_datetime,I_datetime
430,年,I_datetime,I_datetime
431,发,O,O
432,现,O,O
433,时,B_symptom,B_symptom
434,间,I_symptom,I_symptom
435,越,I_symptom,I_symptom
436,来,I_symptom,I_symptom
437,越,I_symptom,I_symptom
438,短,I_symptom,I_symptom
439,您,O,O
440,想,O,O
441,要,O,O
442,调,O,O
443,理,O,O
444,好,O,O
445,首,O,O
446,先,O,O
447,需,O,O
448,要,O,O
449,检,O,O
450,查,O,O
451,确,O,O
452,诊,O,O
453,清,O,O
454,楚,O,O
455,具,O,O
456,体,O,O
457,是,O,O
458,什,O,O
459,么,O,O
460,原,O,O
461,因,O,O
462,几,B_datetime,B_datetime
463,年,I_datetime,I_datetime
464,了,O,O
465,恩,O,O
466,，,O,O
467,出,O,O
468,现,O,O
469,这,O,O
470,个,O,O
471,情,O,O
472,况,O,O
473,有,O,O
474,到,O,O
475,医,O,O
476,院,O,O
477,检,O,O
478,查,O,O
479,看,O,O
480,诊,O,O
481,过,O,O
482,吗,O,O
483,？,O,O
484,男,O,O
485,，,O,O
486,2,B_age,O
487,7,I_age,O
488,岁,I_age,O
489,，,O,O
490,原,O,O
491,来,O,O
492,年,O,O
493,少,O,O
494,时,O,O
495,手,B_cause,B_cause
496,淫,I_cause,I_cause
497,导,O,O
498,致,O,O
499,早,B_symptom,B_sickness
500,泄,I_symptom,I_sickness
501,，,O,O
502,后,O,O
503,面,O,O
504,做,O,O
505,阴,B_surgery,B_surgery
506,茎,I_surgery,I_surgery
507,切,I_surgery,I_surgery
508,断,I_surgery,I_surgery
509,术,I_surgery,I_surgery
510,导,O,O
511,致,O,O
512,阳,B_symptom,B_sickness
513,痿,I_symptom,I_sickness
514,，,O,O
515,能,O,O
516,否,O,O
517,治,O,O
518,疗,O,O
519,？,O,O
520,屁,B_symptom,B_symptom
521,股,I_symptom,I_symptom
522,也,I_symptom,I_symptom
523,湿,I_symptom,I_symptom
524,你,O,O
525,们,O,O
526,啥,O,O
527,时,O,O
528,候,O,O
529,不,O,O
530,忙,O,O
531,你,O,O
532,是,O,O
533,提,O,O
534,前,O,O
535,预,O,O
536,约,O,O
537,的,O,O
538,，,O,O
539,过,O,O
540,来,O,O
541,是,O,O
542,可,O,O
543,以,O,O
544,优,O,O
545,先,O,O
546,就,O,O
547,诊,O,O
548,的,O,O
549,，,O,O
550,请,O,O
551,问,O,O
552,1,O,B_sickness
553,1,O,I_sickness
554,厘,O,I_sickness
555,米,O,I_sickness
556,正,O,O
557,常,O,O
558,吗,O,O
559,可,O,O
560,以,O,O
561,有,O,O
562,药,O,B_othertreatment
563,物,O,I_othertreatment
564,治,O,I_othertreatment
565,疗,O,I_othertreatment
566,你,O,O
567,一,O,O
568,般,O,O
569,看,O,O
570,好,O,O
571,这,O,O
572,方,O,O
573,面,O,O
574,能,O,O
575,花,O,O
576,多,O,O
577,少,O,O
578,钱,O,O
579,看,O,O
580,好,O,O
581,具,O,O
582,体,O,O
583,费,O,O
584,用,O,O
585,是,O,O
586,根,O,O
587,据,O,O
588,您,O,O
589,现,O,O
590,在,O,O
591,引,O,O
592,起,O,O
593,的,O,O
594,原,O,O
595,因,O,O
596,检,O,O
597,查,O,O
598,合,O,O
599,适,O,O
600,手,O,O
601,术,O,O
602,，,O,O
603,没,O,O
604,有,O,O
605,副,O,O
606,作,O,O
607,用,O,O
608,，,O,O
609,是,O,O
610,在,O,O
611,考,O,O
612,虑,O,O
613,什,O,O
614,么,O,O
615,问,O,O
616,题,O,O
617,呢,O,O
618,？,O,O
619,嗯,O,O
620,这,O,O
621,边,O,O
622,为,O,O
623,你,O,O
624,安,O,O
625,排,O,O
626,在,O,O
627,9,B_datetime,B_datetime
628,-,I_datetime,I_datetime
629,1,I_datetime,I_datetime
630,0,I_datetime,I_datetime
631,点,I_datetime,I_datetime
632,可,O,O
633,以,O,O
634,吗,O,O
635,？,O,O
636,平,O,O
637,时,O,O
638,有,O,O
639,没,O,O
640,有,O,O
641,使,O,O
642,用,O,O
643,Q,O,O
644,Q,O,O
645,呢,O,O
646,，,O,O
647,我,O,O
648,添,O,O
649,加,O,O
650,你,O,O
651,，,O,O
652,方,O,O
653,便,O,O
654,咨,O,O
655,询,O,O
656,了,O,O
657,解,O,O
658,，,O,O
659,很,O,O
660,贵,O,O
661,的,O,O
662,嘛,O,O
663,你,O,O
664,好,O,O
665,，,O,O
666,有,O,O
667,什,O,O
668,么,O,O
669,需,O,O
670,要,O,O
671,咨,O,O
672,询,O,O
673,的,O,O
674,请,O,O
675,讲,O,O
676,咱,O,O
677,么,O,O
678,一,O,O
679,套,O,O
680,的,O,O
681,检,O,O
682,查,O,O
683,费,O,O
684,用,O,O
685,是,O,O
686,多,O,O
687,少,O,O
688,地,O,O
689,方,O,O
690,药,O,O
691,店,O,O
692,吃,O,O
693,点,O,O
694,什,O,O
695,么,O,O
696,药,O,O
697,不,O,O
698,行,O,O
699,？,O,O
700,你,O,O
701,多,O,O
702,大,O,O
703,年,O,O
704,纪,O,O
705,，,O,O
706,这,O,O
707,个,O,O
708,情,O,O
709,况,O,O
710,多,O,O
711,长,O,O
712,时,O,O
713,间,O,O
714,了,O,O
715,6,B_age,O
716,5,I_age,O
717,岁,O,O
718,才,O,O
719,有,O,O
720,这,O,O
721,个,O,O
722,情,O,O
723,况,O,O
724,。,O,O
725,已,O,O
726,有,O,O
727,半,B_datetime,B_datetime
728,年,I_datetime,I_datetime
729,了,O,O
730,半,B_datetime,B_frequency
731,年,I_datetime,I_frequency
732,前,I_datetime,I_frequency
733,有,O,I_frequency
734,过,O,I_frequency
735,一,B_frequency,I_frequency
736,次,I_frequency,I_frequency
737,吧,O,O
738,哪,O,O
739,一,O,O
740,站,O,O
741,下,O,O
742,车,O,O
743,？,O,O
744,我,O,O
745,好,O,O
746,预,O,O
747,备,O,O
748,费,O,O
749,用,O,O
750,请,O,O
751,问,O,O
752,是,O,O
753,预,O,O
754,约,O,O
755,挂,O,O
756,号,O,O
757,呢,O,O
758,",",O,O
759,还,O,O
760,是,O,O
761,疾,O,O
762,病,O,O
763,咨,O,O
764,询,O,O
765,?,O,O
766,睾,B_part,B_part
767,丸,I_part,I_part
768,旁,O,O
769,边,O,O
770,有,B_symptom,O
771,一,I_symptom,O
772,个,I_symptom,O
773,根,I_symptom,B_symptom
774,筋,I_symptom,I_symptom
775,路,O,O
776,线,O,O
777,怎,O,O
778,么,O,O
779,走,O,O
780,呀,O,O
781,以,O,O
782,前,O,O
783,是,O,O
784,小,B_symptom,B_symptom
785,疙,I_symptom,I_symptom
786,瘩,I_symptom,I_symptom
787,，,O,O
788,疙,B_symptom,B_symptom
789,瘩,I_symptom,I_symptom
790,好,B_datetime,B_datetime
791,几,I_datetime,I_datetime
792,年,I_datetime,I_datetime
793,了,O,O
794,，,O,O
795,前,B_datetime,B_datetime
796,两,I_datetime,I_datetime
797,月,I_datetime,I_datetime
798,出,O,O
799,现,O,O
800,疙,B_symptom,B_symptom
801,瘩,I_symptom,I_symptom
802,上,O,B_symptom
803,面,O,I_symptom
804,长,O,I_symptom
805,的,O,I_symptom
806,像,O,I_symptom
807,猴,O,I_symptom
808,子,O,I_symptom
809,东,O,I_symptom
810,西,O,I_symptom
811,做,O,O
812,了,O,O
813,就,O,O
814,能,O,O
815,走,O,O
816,的,O,O
817,那,O,O
818,种,O,O
819,这,O,O
820,样,O,O
821,吧,O,O
822,，,O,O
823,你,O,O
824,平,O,O
825,时,O,O
826,使,O,O
827,用,O,O
828,Q,O,O
829,Q,O,O
830,还,O,O
831,是,O,O
832,微,O,O
833,信,O,O
834,呢,O,O
835,，,O,O
836,我,O,O
837,添,O,O
838,加,O,O
839,你,O,O
840,，,O,O
841,给,O,O
842,详,O,O
843,细,O,O
844,的,O,O
845,说,O,O
846,下,O,O
847,包,B_surgery,B_surgery
848,皮,I_surgery,I_surgery
849,术,O,I_surgery
850,后,O,O
851,价,O,O
852,格,O,O
853,和,O,O
854,注,O,O
855,意,O,O
856,事,O,O
857,项,O,O
858,，,O,O
859,好,O,O
860,吧,O,O
861,所,O,O
862,以,O,O
863,有,O,O
864,点,O,O
865,不,B_emotion,O
866,敢,I_emotion,O
867,做,O,O
868,这,O,O
869,样,O,O
870,吧,O,O
871,，,O,O
872,您,O,O
873,可,O,O
874,以,O,O
875,先,O,O
876,加,O,O
877,上,O,O
878,我,O,O
879,的,O,O
880,微,O,O
881,信,O,O
882,，,O,O
883,一,O,O
884,是,O,O
885,方,O,O
886,便,O,O
887,您,O,O
888,日,O,O
889,后,O,O
890,的,O,O
891,咨,O,O
892,询,O,O
893,，,O,O
894,二,O,O
895,是,O,O
896,方,O,O
897,便,O,O
898,您,O,O
899,联,O,O
900,系,O,O
901,我,O,O
902,帮,O,O
903,您,O,O
904,申,O,O
905,请,O,O
906,预,O,O
907,约,O,O
908,优,O,O
909,惠,O,O
910,我,O,O
911,的,O,O
912,微,O,O
913,信,O,O
914,是,O,O
915,1,O,O
916,8,O,O
917,9,O,O
918,4,O,O
919,2,O,O
920,6,O,O
921,2,O,O
922,4,O,O
923,9,O,O
924,3,O,O
925,7,O,O
926,这,O,O
927,是,O,O
928,啥,O,O
929,原,O,O
930,因,O,O
931,会,O,O
932,出,O,O
933,现,O,O
934,有,B_symptom,O
935,味,I_symptom,O
936,儿,I_symptom,O
937,你,O,O
938,好,O,O
939,！,O,O
940,我,O,O
941,的,O,O
942,睾,B_symptom,B_part
943,丸,I_symptom,I_part
944,被,I_symptom,O
945,攥,I_symptom,O
946,拉,I_symptom,O
947,以,O,O
948,后,O,O
949,总,O,O
950,觉,O,O
951,得,O,O
952,屁,B_symptom,B_symptom
953,股,I_symptom,I_symptom
954,里,I_symptom,I_symptom
955,酸,I_symptom,I_symptom
956,痛,I_symptom,I_symptom
957,，,O,O
958,我,O,O
959,怀,O,O
960,疑,O,O
961,输,B_symptom,B_part
962,精,I_symptom,I_part
963,管,I_symptom,I_part
964,被,I_symptom,O
965,拽,I_symptom,O
966,坏,I_symptom,O
967,了,O,O
968,，,O,O
969,这,O,O
970,个,O,O
971,可,O,O
972,以,O,O
973,检,O,O
974,查,O,O
975,出,O,O
976,来,O,O
977,吗,O,O
978,嗯,O,O
979,要,O,O
980,不,O,O
981,您,O,O
982,加,O,O
983,我,O,O
984,的,O,O
985,微,O,O
986,信,O,O
987,我,O,O
988,的,O,O
989,微,O,O
990,信,O,O
991,是,O,O
992,1,O,O
993,7,O,O
994,7,O,O
995,5,O,O
996,2,O,O
997,3,O,O
998,1,O,O
999,5,O,O
1000,4,O,O
1001,0,O,O
1002,1,O,O
1003,好,O,O
1004,的,O,O
1005,，,O,O
1006,记,O,O
1007,下,O,O
1008,了,O,O
1009,，,O,O
1010,这,O,O
1011,两,O,O
1012,天,O,O
1013,就,O,O
1014,来,O,O
1015,找,O,O
1016,你,O,O
1017,，,O,O
1018,谢,O,O
1019,谢,O,O
1020,。,O,O
1021,勃,B_symptom,B_symptom
1022,起,I_symptom,I_symptom
1023,硬,I_symptom,I_symptom
1024,度,I_symptom,I_symptom
1025,差,I_symptom,I_symptom
1026,，,O,O
1027,或,O,O
1028,者,O,O
1029,勃,B_symptom,B_symptom
1030,起,I_symptom,I_symptom
1031,很,I_symptom,I_symptom
1032,快,I_symptom,I_symptom
1033,又,O,O
1034,疲,B_symptom,B_symptom
1035,软,I_symptom,I_symptom
1036,了,O,O
1037,吗,O,O
1038,本,O,O
1039,身,O,O
1040,包,B_symptom,B_symptom
1041,皮,I_symptom,I_symptom
1042,长,I_symptom,I_symptom
1043,长,O,O
1044,时,O,O
1045,间,O,O
1046,的,O,O
1047,包,B_symptom,O
1048,裹,I_symptom,O
1049,鬼,I_symptom,B_part
1050,头,I_symptom,I_part
1051,，,O,O
1052,是,O,O
1053,很,O,O
1054,容,O,O
1055,易,O,O
1056,滋,O,O
1057,生,O,O
1058,细,O,O
1059,菌,O,O
1060,，,O,O
1061,藏,O,O
1062,污,O,O
1063,纳,O,O
1064,垢,O,O
1065,引,O,O
1066,起,O,O
1067,感,O,O
1068,染,O,O
1069,的,O,O
1070,，,O,O
1071,包,B_symptom,B_symptom
1072,皮,I_symptom,I_symptom
1073,长,I_symptom,I_symptom
1074,也,O,O
1075,是,O,O
1076,诱,O,O
1077,发,O,O
1078,早,B_symptom,B_sickness
1079,泄,I_symptom,I_sickness
1080,的,O,O
1081,原,O,O
1082,因,O,O
1083,之,O,O
1084,一,O,O
1085,，,O,O
1086,，,O,O
1087,做,O,O
1088,手,O,O
1089,术,O,O
1090,还,O,O
1091,是,O,O
1092,有,O,O
1093,好,O,O
1094,处,O,O
1095,的,O,O
1096,你,O,O
1097,目,O,O
1098,前,O,O
1099,是,O,O
1100,在,O,O
1101,河,B_address,B_address
1102,北,I_address,I_address
1103,吗,O,O
1104,害,B_emotion,O
1105,怕,I_emotion,O
1106,怀,B_physiology,B_physiology
1107,孕,I_physiology,I_physiology
1108,了,O,O
1109,我,O,O
1110,害,B_emotion,O
1111,怕,I_emotion,O
1112,他,O,O
1113,转,O,O
1114,然,O,O
1115,给,O,O
1116,我,O,O
1117,所,O,O
1118,以,O,O
1119,害,B_emotion,B_emotion
1120,怕,I_emotion,I_emotion
1121,是,O,O
1122,否,O,O
1123,有,O,O
1124,包,B_symptom,B_symptom
1125,皮,I_symptom,I_symptom
1126,过,I_symptom,I_symptom
1127,长,I_symptom,I_symptom
1128,呢,O,O
1129,？,O,O
1130,那,O,O
1131,该,O,O
1132,怎,O,O
1133,么,O,O
1134,治,O,O
1135,疗,O,O
1136,食,O,O
1137,物,O,O
1138,可,O,O
1139,以,O,O
1140,吃,O,O
1141,什,O,O
1142,么,O,O
1143,就,O,O
1144,是,O,O
1145,和,O,O
1146,女,O,O
1147,朋,O,O
1148,友,O,O
1149,在,O,O
1150,一,O,O
1151,起,O,O
1152,想,O,O
1153,要,O,O
1154,做,B_physiology,B_physiology
1155,爱,I_physiology,I_physiology
1156,的,O,O
1157,时,O,O
1158,候,O,O
1159,，,O,O
1160,蓬,B_physiology,B_physiology
1161,勃,I_physiology,I_physiology
1162,起,O,I_physiology
1163,来,O,O
1164,还,O,O
1165,没,B_symptom,B_symptom
1166,有,I_symptom,I_symptom
1167,放,I_symptom,I_symptom
1168,进,I_symptom,I_symptom
1169,去,I_symptom,I_symptom
1170,就,I_symptom,I_symptom
1171,软,I_symptom,I_symptom
1172,了,O,I_symptom
1173,，,O,O
1174,这,O,O
1175,是,O,O
1176,什,O,O
1177,么,O,O
1178,病,O,O
1179,？,O,O
1180,我,O,O
1181,看,O,O
1182,您,O,O
1183,打,O,O
1184,字,O,O
1185,不,O,O
1186,方,O,O
1187,便,O,O
1188,我,O,O
1189,现,O,O
1190,在,O,O
1191,在,O,O
1192,北,B_address,B_address
1193,京,I_address,I_address
1194,呢,O,O
1195,，,O,O
1196,怎,O,O
1197,么,O,O
1198,过,O,O
1199,去,O,O
1200,治,O,O
1201,疗,O,O
1202,我,O,O
1203,最,O,O
1204,近,O,O
1205,性,B_symptom,B_symptom
1206,欲,I_symptom,I_symptom
1207,有,I_symptom,I_symptom
1208,点,I_symptom,I_symptom
1209,强,I_symptom,I_symptom
1210,要,O,O
1211,是,O,O
1212,鲜,O,O
1213,红,O,O
1214,色,O,O
1215,那,O,O
1216,就,O,O
1217,麻,O,O
1218,烦,O,O
1219,了,O,O
1220,而,O,O
1221,且,O,O
1222,比,B_symptom,O
1223,较,I_symptom,O
1224,频,I_symptom,O
1225,繁,I_symptom,O
1226,避,O,O
1227,免,O,O
1228,大,O,O
1229,厅,O,O
1230,叙,O,O
1231,述,O,O
1232,病,O,O
1233,情,O,O
1234,的,O,O
1235,尴,O,O
1236,尬,O,O
1237,尿,B_symptom,B_symptom
1238,特,I_symptom,I_symptom
1239,多,I_symptom,I_symptom
1240,是,O,O
1241,怎,O,O
1242,么,O,O
1243,回,O,O
1244,事,O,O
1245,男,O,O
1246,性,O,O
1247,女,O,O
1248,性,O,O
1249,呢,O,O
1250,？,O,O
1251,多,O,O
1252,大,O,O
1253,岁,O,O
1254,数,O,O
1255,了,O,O
1256,？,O,O
1257,有,O,O
1258,，,O,O
1259,一,B_frequency,B_frequency
1260,周,I_frequency,I_frequency
1261,两,I_frequency,I_frequency
1262,三,I_frequency,I_frequency
1263,次,I_frequency,I_frequency
1264,B,B_check,B_check
1265,超,I_check,I_check
1266,检,O,I_check
1267,查,O,I_check
1268,的,O,O
1269,只,O,O
1270,是,O,O
1271,子,B_part,B_part
1272,宫,I_part,I_part
1273,以,O,O
1274,及,O,O
1275,附,B_part,B_part
1276,件,I_part,I_part
1277,的,O,O
1278,情,O,O
1279,况,O,O
1280,的,O,O
1281,，,O,O
1282,咱,O,O
1283,们,O,O
1284,现,O,O
1285,在,O,O
1286,有,B_symptom,O
1287,出,I_symptom,B_symptom
1288,血,I_symptom,I_symptom
1289,需,O,O
1290,要,O,O
1291,做,O,O
1292,个,O,O
1293,阴,B_check,B_check
1294,道,I_check,I_check
1295,镜,I_check,I_check
1296,的,O,O
1297,检,O,O
1298,查,O,O
1299,看,O,O
1300,看,O,O
1301,阴,B_part,B_part
1302,道,I_part,I_part
1303,，,O,O
1304,宫,B_part,B_part
1305,颈,I_part,I_part
1306,方,O,O
1307,面,O,O
1308,是,O,O
1309,否,O,O
1310,有,O,O
1311,异,O,B_symptom
1312,常,O,I_symptom
1313,这,O,O
1314,样,O,O
1315,的,O,O
1316,病,O,O
1317,情,O,O
1318,多,O,O
1319,吗,O,O
1320,性,O,O
1321,功,O,O
1322,能,O,O
1323,怎,O,O
1324,么,O,O
1325,样,O,O
1326,，,O,O
1327,是,O,O
1328,否,O,O
1329,也,O,O
1330,有,O,O
1331,明,O,O
1332,显,O,B_symptom
1333,的,O,I_symptom
1334,下,B_symptom,I_symptom
1335,降,I_symptom,I_symptom
1336,呢,O,O
1337,我,O,O
1338,在,O,O
1339,顺,B_address,B_address
1340,义,I_address,I_address
1341,区,I_address,I_address
1342,座,O,O
1343,几,O,O
1344,号,O,O
1345,线,O,O
1346,恩,O,O
1347,，,O,O
1348,疙,B_symptom,B_symptom
1349,瘩,I_symptom,I_symptom
1350,是,O,O
1351,单,O,O
1352,个,O,O
1353,的,O,O
1354,还,O,O
1355,是,O,O
1356,多,O,O
1357,个,O,O
1358,的,O,O
1359,？,O,O
1360,现,O,O
1361,在,O,O
1362,有,O,O
1363,出,O,O
1364,现,O,O
1365,增,O,B_symptom
1366,大,O,I_symptom
1367,增,O,I_symptom
1368,多,O,I_symptom
1369,的,O,O
1370,情,O,O
1371,况,O,O
1372,吗,O,O
1373,？,O,O
1374,恩,O,O
1375,你,O,O
1376,年,O,O
1377,前,O,O
1378,照,O,O
1379,的,O,O
1380,单,O,O
1381,子,O,O
1382,你,O,O
1383,到,O,O
1384,现,O,O
1385,在,O,O
1386,也,O,O
1387,没,O,O
1388,有,O,O
1389,进,O,O
1390,行,O,O
1391,取,B_surgery,B_surgery
1392,环,I_surgery,I_surgery
1393,吗,O,O
1394,因,O,O
1395,为,O,O
1396,家,O,O
1397,人,O,O
1398,住,O,O
1399,院,O,O
1400,耽,O,O
1401,误,O,O
1402,了,O,O
1403,，,O,O
1404,现,O,O
1405,在,O,O
1406,刚,O,O
1407,腾,O,O
1408,出,O,O
1409,时,O,O
1410,间,O,O
1411,来,O,O
1412,着,O,O
1413,手,O,O
1414,考,O,O
1415,虑,O,O
1416,这,O,O
1417,个,O,O
1418,事,O,O
1419,如,O,O
1420,果,O,O
1421,您,O,O
1422,不,O,O
1423,方,O,O
1424,便,O,O
1425,打,O,O
1426,字,O,O
1427,，,O,O
1428,留,O,O
1429,下,O,O
1430,你,O,O
1431,Q,O,O
1432,Q,O,O
1433,或,O,O
1434,者,O,O
1435,微,O,O
1436,信,O,O
1437,，,O,O
1438,我,O,O
1439,添,O,O
1440,加,O,O
1441,你,O,O
1442,，,O,O
1443,或,O,O
1444,者,O,O
1445,加,O,O
1446,我,O,O
1447,微,O,O
1448,信,O,O
1449,：,O,O
1450,1,O,O
1451,3,O,O
1452,7,O,O
1453,7,O,O
1454,8,O,O
1455,1,O,O
1456,5,O,O
1457,4,O,O
1458,6,O,O
